Названия;Описание товара;в наличии товара;Ссылка
Сотовый телефон ASUS Fonepad Note 6 16Gb черный;36080 сом;"Сотовый телефон ASUS Fonepad Note 6 16Gb черныйсмартфон, Android 4.2; экран 6"", разрешение 1920x1080; камера 8 МП, автофокус; память 16 Гб, слот для карты памяти; 3G, Wi-Fi, Bluetooth, GPS, ГЛОНАСС; аккумулятор 3200 мА⋅ч; вес 210 г, ШxВxТ...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-asus-fonepad-note-6-16gb-chernyy
Сотовый телефон Samsung Galaxy A32 (2021) 4/128GB (SM-A325F/DS) черный;21900 сом;"Сотовый телефон Samsung Galaxy A32 (2021) 4/128GB (SM-A325F/DS) черныйэкран: 6.4"" (2400x1080) 90 Гц, оперативная память: 4 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 64 МП, 8 МП, 5 МП, 5 МП, аккумулятор: 5000 мА·ч, процессор:...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-a32-2021-4-128gb-sm-a325f-ds-chernyy
Сотовый телефон Samsung Galaxy A32 (2021) 4/128GB (SM-A325F/DS) голубой;26490 сом-17%21900 сом;"Сотовый телефон Samsung Galaxy A32 (2021) 4/128GB (SM-A325F/DS) голубойэкран: 6.4"" (2400x1080) 90 Гц, оперативная память: 4 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 64 МП, 8 МП, 5 МП, 5 МП, аккумулятор: 5000 мА·ч, процессор:...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-a32-2021-4-128gb-sm-a325f-ds-goluboy
Сотовый телефон Samsung Galaxy A32 (2021) 6/128GB (SM-A325F/DS) черный;21820 сом-3%21220 сом;"Сотовый телефон Samsung Galaxy A32 (2021) 6/128GB (SM-A325F/DS) черныйэкран: 6.4"" (2400x1080) 90 Гц, оперативная память: 6 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 64 МП, 8 МП, 5 МП, 5 МП, аккумулятор: 5000 мА·ч, процессор:...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-a32-2021-6-128gb-sm-a325f-ds-chernyy
Сотовый телефон Samsung Galaxy A32 (2021) 6/128GB (SM-A325F/DS) белый;21820 сом-3%21220 сом;"Сотовый телефон Samsung Galaxy A32 (2021) 6/128GB (SM-A325F/DS) белыйэкран: 6.4"" (2400x1080) 90 Гц, оперативная память: 6 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 64 МП, 8 МП, 5 МП, 5 МП, аккумулятор: 5000 мА·ч, процессор:...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-a32-2021-6-128gb-sm-a325f-ds-belyy
Сотовый телефон Samsung Galaxy A32 (2021) 6/128GB (SM-A325F/DS) голубой;21820 сом-3%21220 сом;"Сотовый телефон Samsung Galaxy A32 (2021) 6/128GB (SM-A325F/DS) голубойэкран: 6.4"" (2400x1080) 90 Гц, оперативная память: 6 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 64 МП, 8 МП, 5 МП, 5 МП, аккумулятор: 5000 мА·ч, процессор:...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-a32-2021-6-128gb-sm-a325f-ds-goluboy
Сотовый телефон Samsung Galaxy A32 (2021) 6/128GB (SM-A325F/DS) лавандовый;21820 сом-3%21220 сом;"Сотовый телефон Samsung Galaxy A32 (2021) 6/128GB (SM-A325F/DS) лавандовыйэкран: 6.4"" (2400x1080) 90 Гц, оперативная память: 6 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 64 МП, 8 МП, 5 МП, 5 МП, аккумулятор: 5000 мА·ч, процессор:...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-a32-2021-6-128gb-sm-a325f-ds-lavandovyy
Смартфон iLife itell S500S серебристый;8230 сом;"Смартфон iLife itell S500S серебристыйСмартфон ,Android 4.4.2 ,Поддержка двух SIM-карт ,Экран 5.0 "" ,Объем оперативной памяти 512 Мб ,Объем встроенной памяти 4 Гб ,Камера 8 Мп ,Фронтальная камера 0,3 Мп ,FM-радио ,Bluetooth ,Wi-Fi";На складе;https://www.kivano.kg/product/view/smartfon-ilife-itell-s500s-serebristyy
Сотовый телефон Samsung Galaxy S21 5G 8/128GB Dual SIM (SM-G991B/DS) серый фантом;63330 сом-1%62910 сом;"Сотовый телефон Samsung Galaxy S21 5G 8/128GB Dual SIM (SM-G991B/DS) серый фантомэкран: 6.2"" (2400x1080) 120 Гц, оперативная память: 8 ГБ, память: 128 ГБ, 3 камеры: 64 МП, 12 МП, 12 МП, аккумулятор: 4000 мА·ч, процессор: Samsung Exynos 2100, SIM-карты: 2 (nano...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-s21-5g-8-128gb-dual-sim-sm-g991b-ds-seryy-fantom
Сотовый телефон BRAVIS A503 Joy черный;6280 сом;"Сотовый телефон BRAVIS A503 Joy черныйсмартфон, Android 6.0; поддержка двух SIM-карт; экран 5"", разрешение 1280x720; камера 8 МП; память 8 Гб, слот для карты памяти; 3G, Wi-Fi, Bluetooth, GPS; объем оперативной памяти 1 Гб; аккумулятор...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-a503-joy-chernyy
Сотовый телефон Apple iPhone 11 64GB черный;55520 сом-3%54000 сом;"Сотовый телефон Apple iPhone 11 64GB черныйсмартфон с iOS 13, поддержка двух SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 1792x828, двойная камера 12 МП/12 МП, автофокус, память 64 Гб, без слота для карт памяти, 3G, 4G LTE,...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-11-64gb-chernyy
Сотовый телефон BRAVIS A503 Joy золотой;6280 сом;"Сотовый телефон BRAVIS A503 Joy золотойсмартфон, Android 6.0; поддержка двух SIM-карт; экран 5"", разрешение 1280x720; камера 8 МП; память 8 Гб, слот для карты памяти; 3G, Wi-Fi, Bluetooth, GPS; объем оперативной памяти 1 Гб; аккумулятор...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-a503-joy-zolotoy
Сотовый телефон BRAVIS A503 Joy белый;6280 сом;"Сотовый телефон BRAVIS A503 Joy белыйсмартфон, Android 6.0; поддержка двух SIM-карт; экран 5"", разрешение 1280x720; камера 8 МП; память 8 Гб, слот для карты памяти; 3G, Wi-Fi, Bluetooth, GPS; объем оперативной памяти 1 Гб; аккумулятор...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-a503-joy-belyy
Сотовый телефон Ergo A502 Aurum белый;5940 сом;"Сотовый телефон Ergo A502 Aurum белыйсмартфон, Android 6.0
	поддержка двух SIM-карт
	экран 5"", разрешение 1280x720
	камера 8 МП, автофокус
	память 8 Гб, слот для карты памяти
	3G, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 2500 мА⋅ч
	вес 156 г, ШxВxТ 70x143x8.60...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-ergo-a502-aurum-belyy
Сотовый телефон Samsung Galaxy A52 (2021) 6/256GB (SM-A525F/DS) белый;32600 сом-1%32180 сом;"Сотовый телефон Samsung Galaxy A52 (2021) 6/256GB (SM-A525F/DS) белыйэкран: 6.5"" (2400x1080) 90 Гц, оперативная память: 6 ГБ, память: 256 ГБ, слот для карты памяти, 4 камеры: 64 МП, 12 МП, 5 МП, 5 МП, аккумулятор: 4500 мА·ч, процессор:...";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-a52-2021-6-256gb-sm-a525f-ds-belyy
Сотовый телефон Samsung Galaxy A52 (2021) 6/256GB (SM-A525F/DS) голубой;32600 сом-1%32180 сом;"Сотовый телефон Samsung Galaxy A52 (2021) 6/256GB (SM-A525F/DS) голубойэкран: 6.5"" (2400x1080) 90 Гц, оперативная память: 6 ГБ, память: 256 ГБ, слот для карты памяти, 4 камеры: 64 МП, 12 МП, 5 МП, 5 МП, аккумулятор: 4500 мА·ч, процессор:...";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-a52-2021-6-256gb-sm-a525f-ds-goluboy
Сотовый телефон Huawei P smart Z 4/64GB черный;15370 сом;"Сотовый телефон Huawei P smart Z 4/64GB черныйсмартфон с Android 9.0, поддержка двух SIM-карт, экран 6.59"", разрешение 2340x1080, двойная камера 16 МП/2 МП, автофокус, память 64 Гб, слот для карты памяти, 3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth,...";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-huawei-p-smart-z-4-64gb-chernyy
Сотовый телефон Vertex D552 синий;1360 сом;"Сотовый телефон Vertex D552 синийэкран: 2.4"" (320×240), память: 32 МБ, слот для карты памяти, камера: 0.30 МП, аккумулятор: 1000 мА·ч, SIM-карты: 2, беспроводные интерфейсы: Bluetooth";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-vertex-d552-siniy
Сотовый телефон Vertex D552 красный;1360 сом;"Сотовый телефон Vertex D552 красныйэкран: 2.4"" (320×240), память: 32 МБ, слот для карты памяти, камера: 0.30 МП, аккумулятор: 1000 мА·ч, SIM-карты: 2, беспроводные интерфейсы: Bluetooth";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-vertex-d552-krasnyy
Сотовый телефон Nokia 5310 (2020) Dual Sim черный;4240 сом;"Сотовый телефон Nokia 5310 (2020) Dual Sim черныйподдержка двух SIM-карт, экран 2.4"", камера: 0.30 МП, память 16 МБ, слот для карты памяти, Bluetooth, аккумулятор 1200 мА⋅ч, вес 88 г, ШxВxТ 52.40x123.70x13.10 мм, радио";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-nokia-5310-2020-dual-sim-chernyy
Сотовый телефон Nokia 5310 (2020) Dual Sim белый;4240 сом;"Сотовый телефон Nokia 5310 (2020) Dual Sim белыйподдержка двух SIM-карт, экран 2.4"", камера: 0.30 МП, память 16 МБ, слот для карты памяти, Bluetooth, аккумулятор 1200 мА⋅ч, вес 88 г, ШxВxТ 52.40x123.70x13.10 мм, радио";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-nokia-5310-2020-dual-sim-belyy
Сотовый телефон Xiaomi Mi 11 Lite 6/128GB розовый;26060 сом-3%25380 сом;"Сотовый телефон Xiaomi Mi 11 Lite 6/128GB розовыйэкран: 6.55"" (2400x1080) 90 Гц, оперативная память: 6 ГБ, память: 128 ГБ, слот для карты памяти, 3 камеры: 64 МП, 8 МП, 5 МП, аккумулятор: 4250 мА·ч, процессор: Qualcomm Snapdragon...";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-xiaomi-mi-11-lite-6-128gb-rozovyy
Сотовый телефон Philips Xenium E109 черный;1950 сом;"Сотовый телефон Philips Xenium E109 черныйподдержка двух SIM-карт, экран 1.77"", разрешение 160x128, без камеры, память 32 Мб, слот для карты памяти, объем оперативной памяти 32 Мб, аккумулятор 1000 мА⋅ч, вес 76 г, ШxВxТ 46.60x108.60x17.20 мм,...";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-philips-xenium-e109-chernyy
Сотовый телефон Realme C3 3/64GB серый;11290 сом;"Сотовый телефон Realme C3 3/64GB серыйAndroid 10, поддержка двух SIM-карт, экран 6.52"", разрешение 1600x720, 3 камеры: 12 МП, макро, портретная, процессор MediaTek Helio G70, память 64 ГБ, слот для карты памяти, 3G, 4G LTE, Wi-Fi,...";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-realme-c3-3-64gb-seryy
Сотовый телефон Realme C3 3/64GB голубой;11290 сом;"Сотовый телефон Realme C3 3/64GB голубойAndroid 10, поддержка двух SIM-карт, экран 6.52"", разрешение 1600x720, 3 камеры: 12 МП, макро, портретная, процессор MediaTek Helio G70, память 64 ГБ, слот для карты памяти, 3G, 4G LTE, Wi-Fi,...";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-realme-c3-3-64gb-goluboy
Сотовый телефон Nokia 210 черный;3820 сом;"Сотовый телефон Nokia 210 черныйподдержка двух SIM-карт, экран 2.4"", камера 0.30 МП, память 16 Мб, слот для карты памяти, аккумулятор 1020 мА⋅ч, ШxВxТ 53.49x120.80x13.81 мм, MP3-плеер, радио";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-nokia-210-chernyy
Сотовый телефон Realme C3 3/64GB красный;11290 сом;"Сотовый телефон Realme C3 3/64GB красныйAndroid 10, поддержка двух SIM-карт, экран 6.52"", разрешение 1600x720, 3 камеры: 12 МП, макро, портретная, процессор MediaTek Helio G70, память 64 ГБ, слот для карты памяти, 3G, 4G LTE, Wi-Fi,...";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-realme-c3-3-64gb-krasnyy
Сотовый телефон BQ BQ-2428 Tank;3650 сом-7%3400 сом;"Сотовый телефон BQ BQ-2428 Tankподдержка двух SIM-карт, экран 2.4"", разрешение 320x240, камера, память 30.72 Мб, слот для карты памяти, Bluetooth, объем оперативной памяти 32 Мб, аккумулятор 1000 мА⋅ч, вес 91 г, ШxВxТ 53x125.50x14.20 мм,...";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-bq-bq-2428-tank
Сотовый телефон Apple iPhone 12 64GB черный;67240 сом-1%66820 сом;"Сотовый телефон Apple iPhone 12 64GB черныйiOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, двойная камера: сверхширокоугольная (12 МП), широкоугольная, процессор Apple A14 Bionic, память 64 ГБ, без слота для карт памяти, 3G, 4G...";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-12-64gb-chernyy
Сотовый телефон Xiaomi Redmi 9C 4/128GB серый;11890 сом;"Сотовый телефон Xiaomi Redmi 9C 4/128GB серыйAndroid 10, поддержка двух SIM-карт, экран 6.53"", разрешение 1600x720, 3 камеры: 13 МП, макро, датчик глубины, процессор MediaTek Helio G35, память 128 ГБ, слот для карты памяти, 3G, 4G LTE,...";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-xiaomi-redmi-9c-4-128gb-seryy
Сотовый телефон Samsung Galaxy Note 20 Ultra 5G 12/256GB белый;79640 сом;"Сотовый телефон Samsung Galaxy Note 20 Ultra 5G 12/256GB белыйсмартфон на платформе Android, поддержка двух SIM-карт, экран 6.9"", разрешение 3088x1440, 4 камеры: широкоугольная (108 МП), сверхширокоугольная, телефото, процессор Samsung Exynos 990, память 256 ГБ, слот для карты памяти, 3G,...";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-note-20-ultra-5g-12-256gb-belyy
Сотовый телефон Xiaomi Redmi 10 4/128GB серый;18000 сом;"Сотовый телефон Xiaomi Redmi 10 4/128GB серыйсмартфон на платформе Android 11, поддержка двух SIM-карт, экран 6.5"", разрешение 2400x1080, четыре камеры 50 МП/8 МП/2 МП/2 МП, автофокус, память 128 ГБ, слот для карты памяти, 3G, 4G LTE,...";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-xiaomi-redmi-10-4-128gb-seryy
Сотовый телефон Xiaomi Mi 10T Lite 6/128GB атлантический синий;27680 сом;"Сотовый телефон Xiaomi Mi 10T Lite 6/128GB атлантический синийэкран: 6.67"" (2400x1080) 120 Гц, оперативная память: 6 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 64 МП, 8 МП, 2 МП, 2 МП, аккумулятор: 4820 мА·ч, процессор:...";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-xiaomi-mi-10t-lite-6-128gb-atlanticheskiy-siniy
Сотовый телефон Realme C3 2/32GB голубой;10020 сом;"Сотовый телефон Realme C3 2/32GB голубойAndroid 10, поддержка двух SIM-карт, экран 6.52"", разрешение 1600x720, 3 камеры: 12 МП, 2 МП, 2 МП, процессор MediaTek Helio G70, память 32 ГБ, слот для карты памяти, 3G, 4G...";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-realme-c3-2-32gb-goluboy
Сотовый телефон Samsung Galaxy Note 20 Ultra 5G 12/256GB черный;79640 сом;"Сотовый телефон Samsung Galaxy Note 20 Ultra 5G 12/256GB черныйсмартфон на платформе Android, поддержка двух SIM-карт, экран 6.9"", разрешение 3088x1440, 4 камеры: широкоугольная (108 МП), сверхширокоугольная, телефото, процессор Samsung Exynos 990, память 256 ГБ, слот для карты памяти, 3G,...";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-note-20-ultra-5g-12-256gb-chernyy
Сотовый телефон Xiaomi Redmi 10 4/64GB серый;16990 сом;"Сотовый телефон Xiaomi Redmi 10 4/64GB серыйсмартфон на платформе Android 11, поддержка двух SIM-карт, экран 6.5"", разрешение 2400x1080, четыре камеры 50 МП/8 МП/2 МП/2 МП, автофокус, память 64 ГБ, слот для карты памяти, 3G, 4G LTE,...";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-xiaomi-redmi-10-4-64gb-seryy
Сотовый телефон Xiaomi Mi 10T Lite 6/128GB пляж розового золота;27680 сом;"Сотовый телефон Xiaomi Mi 10T Lite 6/128GB пляж розового золотаэкран: 6.67"" (2400x1080) 120 Гц, оперативная память: 6 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 64 МП, 8 МП, 2 МП, 2 МП, аккумулятор: 4820 мА·ч, процессор:...";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-xiaomi-mi-10t-lite-6-128gb-plyazh-rozovogo-zolota
Сотовый телефон Realme C3 2/32GB красный;10020 сом;"Сотовый телефон Realme C3 2/32GB красныйAndroid 10, поддержка двух SIM-карт, экран 6.52"", разрешение 1600x720, 3 камеры: 12 МП, 2 МП, 2 МП, процессор MediaTek Helio G70, память 32 ГБ, слот для карты памяти, 3G, 4G...";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-realme-c3-2-32gb-krasnyy
Сотовый телефон Samsung Galaxy Note 20 Ultra 5G 12/256GB бронзовый;79640 сом;"Сотовый телефон Samsung Galaxy Note 20 Ultra 5G 12/256GB бронзовыйсмартфон на платформе Android, поддержка двух SIM-карт, экран 6.9"", разрешение 3088x1440, 4 камеры: широкоугольная (108 МП), сверхширокоугольная, телефото, процессор Samsung Exynos 990, память 256 ГБ, слот для карты памяти, 3G,...";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-note-20-ultra-5g-12-256gb-bronzovyy
Сотовый телефон Xiaomi Redmi 10 4/64GB синий;16990 сом;"Сотовый телефон Xiaomi Redmi 10 4/64GB синийсмартфон на платформе Android 11, поддержка двух SIM-карт, экран 6.5"", разрешение 2400x1080, четыре камеры 50 МП/8 МП/2 МП/2 МП, автофокус, память 64 ГБ, слот для карты памяти, 3G, 4G LTE,...";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-xiaomi-redmi-10-4-64gb-siniy
Сотовый телефон Samsung Galaxy A72 (2021) 8/128GB (SM-A725F/DS) лавандовый;34470 сом-1%34040 сом;"Сотовый телефон Samsung Galaxy A72 (2021) 8/128GB (SM-A725F/DS) лавандовыйэкран: 6.7"" (2400x1080) 90 Гц, оперативная память: 8 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 64 МП, 12 МП, 8 МП, 5 МП, аккумулятор: 5000 мА·ч, процессор:...";Уточняйте наличие;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-a72-2021-8-128gb-sm-a725f-ds-lavandovyy
